id	dg_X	dg_Y	status	deliveryNum	deliveryID	orderTime	startTime	start_X	start_Y	endTime	end_X	end_Y	totalOrderTime	travelTime
15	3.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
189	6.0	10.0	 	 	 	 	 	 	 	 	 	 	 	 
238	11.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
190	12.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
53	2.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
259	11.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
101	2.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
82	1.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
184	2.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
365	8.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
42	11.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
206	8.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
22	1.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
326	10.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
244	3.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
37	10.0	7.0	 	 	 	 	 	 	 	 	 	 	 	 
379	5.0	12.0	 	 	 	 	 	 	 	 	 	 	 	 
422	10.0	7.0	 	 	 	 	 	 	 	 	 	 	 	 
234	9.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
110	3.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
466	5.0	12.0	 	 	 	 	 	 	 	 	 	 	 	 
464	10.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
4	4.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
220	8.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
368	10.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
258	13.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
209	12.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
300	12.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
105	4.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
449	10.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
229	12.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
374	2.0	15.0	 	 	 	 	 	 	 	 	 	 	 	 
149	11.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
226	1.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
17	2.0	15.0	 	 	 	 	 	 	 	 	 	 	 	 
314	1.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
254	11.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
274	11.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
409	7.0	10.0	 	 	 	 	 	 	 	 	 	 	 	 
495	6.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
64	14.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
210	1.0	15.0	 	 	 	 	 	 	 	 	 	 	 	 
406	13.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
134	7.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
420	10.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
451	10.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
272	7.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
473	5.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
187	13.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
230	12.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
33	5.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
168	11.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
196	6.0	12.0	 	 	 	 	 	 	 	 	 	 	 	 
231	1.0	15.0	 	 	 	 	 	 	 	 	 	 	 	 
299	6.0	12.0	 	 	 	 	 	 	 	 	 	 	 	 
268	4.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
77	1.0	15.0	 	 	 	 	 	 	 	 	 	 	 	 
155	4.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
289	4.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
160	12.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
28	9.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
32	9.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
75	7.0	12.0	 	 	 	 	 	 	 	 	 	 	 	 
166	7.0	12.0	 	 	 	 	 	 	 	 	 	 	 	 
99	14.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
342	14.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
207	4.0	15.0	 	 	 	 	 	 	 	 	 	 	 	 
303	10.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
433	10.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
378	0.0	15.0	 	 	 	 	 	 	 	 	 	 	 	 
476	2.0	17.0	 	 	 	 	 	 	 	 	 	 	 	 
175	11.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
390	1.0	16.0	 	 	 	 	 	 	 	 	 	 	 	 
430	13.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
338	6.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
262	8.0	12.0	 	 	 	 	 	 	 	 	 	 	 	 
462	8.0	12.0	 	 	 	 	 	 	 	 	 	 	 	 
485	9.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
138	6.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
353	10.0	10.0	 	 	 	 	 	 	 	 	 	 	 	 
127	11.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
418	11.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
216	11.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
241	1.0	17.0	 	 	 	 	 	 	 	 	 	 	 	 
297	1.0	17.0	 	 	 	 	 	 	 	 	 	 	 	 
497	11.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
347	3.0	17.0	 	 	 	 	 	 	 	 	 	 	 	 
186	13.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
376	13.0	7.0	 	 	 	 	 	 	 	 	 	 	 	 
12	12.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
337	6.0	15.0	 	 	 	 	 	 	 	 	 	 	 	 
311	14.0	7.0	 	 	 	 	 	 	 	 	 	 	 	 
6	1.0	18.0	 	 	 	 	 	 	 	 	 	 	 	 
34	4.0	17.0	 	 	 	 	 	 	 	 	 	 	 	 
288	6.0	15.0	 	 	 	 	 	 	 	 	 	 	 	 
62	17.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
450	14.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
269	10.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
136	6.0	15.0	 	 	 	 	 	 	 	 	 	 	 	 
78	2.0	19.0	 	 	 	 	 	 	 	 	 	 	 	 
317	16.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
43	10.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
332	0.0	17.0	 	 	 	 	 	 	 	 	 	 	 	 
71	15.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
325	15.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
45	15.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
363	15.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
324	13.0	0.0	 	 	 	 	 	 	 	 	 	 	 	 
142	16.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
102	1.0	18.0	 	 	 	 	 	 	 	 	 	 	 	 
467	17.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
463	13.0	0.0	 	 	 	 	 	 	 	 	 	 	 	 
25	11.0	10.0	 	 	 	 	 	 	 	 	 	 	 	 
366	11.0	10.0	 	 	 	 	 	 	 	 	 	 	 	 
391	7.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
333	8.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
227	15.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
270	15.0	7.0	 	 	 	 	 	 	 	 	 	 	 	 
10	4.0	18.0	 	 	 	 	 	 	 	 	 	 	 	 
361	2.0	20.0	 	 	 	 	 	 	 	 	 	 	 	 
252	5.0	17.0	 	 	 	 	 	 	 	 	 	 	 	 
255	8.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
371	6.0	16.0	 	 	 	 	 	 	 	 	 	 	 	 
411	2.0	20.0	 	 	 	 	 	 	 	 	 	 	 	 
243	6.0	16.0	 	 	 	 	 	 	 	 	 	 	 	 
117	5.0	17.0	 	 	 	 	 	 	 	 	 	 	 	 
410	3.0	19.0	 	 	 	 	 	 	 	 	 	 	 	 
452	14.0	0.0	 	 	 	 	 	 	 	 	 	 	 	 
67	1.0	19.0	 	 	 	 	 	 	 	 	 	 	 	 
221	1.0	19.0	 	 	 	 	 	 	 	 	 	 	 	 
385	11.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
248	14.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
197	3.0	19.0	 	 	 	 	 	 	 	 	 	 	 	 
120	14.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
470	10.0	12.0	 	 	 	 	 	 	 	 	 	 	 	 
475	9.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
141	0.0	18.0	 	 	 	 	 	 	 	 	 	 	 	 
318	16.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
192	15.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
364	11.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
380	8.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
188	17.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
89	17.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
245	16.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
456	18.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
93	17.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
124	10.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
432	19.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
439	17.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
335	18.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
65	16.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
35	17.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
348	19.0	4.0	 	 	 	 	 	 	 	 	 	 	 	 
474	18.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
489	9.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
459	18.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
447	18.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
24	18.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
267	10.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
147	15.0	0.0	 	 	 	 	 	 	 	 	 	 	 	 
301	1.0	20.0	 	 	 	 	 	 	 	 	 	 	 	 
448	6.0	17.0	 	 	 	 	 	 	 	 	 	 	 	 
403	6.0	17.0	 	 	 	 	 	 	 	 	 	 	 	 
285	14.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
178	16.0	7.0	 	 	 	 	 	 	 	 	 	 	 	 
408	14.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
55	14.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
316	7.0	16.0	 	 	 	 	 	 	 	 	 	 	 	 
111	7.0	16.0	 	 	 	 	 	 	 	 	 	 	 	 
323	13.0	10.0	 	 	 	 	 	 	 	 	 	 	 	 
88	15.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
29	7.0	17.0	 	 	 	 	 	 	 	 	 	 	 	 
434	12.0	12.0	 	 	 	 	 	 	 	 	 	 	 	 
199	12.0	12.0	 	 	 	 	 	 	 	 	 	 	 	 
91	16.0	0.0	 	 	 	 	 	 	 	 	 	 	 	 
113	17.0	7.0	 	 	 	 	 	 	 	 	 	 	 	 
416	18.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
321	19.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
13	8.0	16.0	 	 	 	 	 	 	 	 	 	 	 	 
477	6.0	18.0	 	 	 	 	 	 	 	 	 	 	 	 
131	7.0	17.0	 	 	 	 	 	 	 	 	 	 	 	 
151	14.0	10.0	 	 	 	 	 	 	 	 	 	 	 	 
362	8.0	16.0	 	 	 	 	 	 	 	 	 	 	 	 
23	13.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
340	15.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
273	15.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
407	19.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
11	11.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
334	16.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
339	11.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
202	15.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
424	17.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
132	9.0	16.0	 	 	 	 	 	 	 	 	 	 	 	 
21	7.0	18.0	 	 	 	 	 	 	 	 	 	 	 	 
156	18.0	7.0	 	 	 	 	 	 	 	 	 	 	 	 
2	18.0	7.0	 	 	 	 	 	 	 	 	 	 	 	 
413	17.0	0.0	 	 	 	 	 	 	 	 	 	 	 	 
490	5.0	20.0	 	 	 	 	 	 	 	 	 	 	 	 
278	15.0	10.0	 	 	 	 	 	 	 	 	 	 	 	 
377	20.0	3.0	 	 	 	 	 	 	 	 	 	 	 	 
164	5.0	20.0	 	 	 	 	 	 	 	 	 	 	 	 
446	20.0	5.0	 	 	 	 	 	 	 	 	 	 	 	 
404	16.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
54	16.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
336	15.0	10.0	 	 	 	 	 	 	 	 	 	 	 	 
214	20.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
345	15.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
63	14.0	12.0	 	 	 	 	 	 	 	 	 	 	 	 
185	20.0	2.0	 	 	 	 	 	 	 	 	 	 	 	 
487	8.0	18.0	 	 	 	 	 	 	 	 	 	 	 	 
165	18.0	0.0	 	 	 	 	 	 	 	 	 	 	 	 
100	7.0	19.0	 	 	 	 	 	 	 	 	 	 	 	 
443	15.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
211	7.0	19.0	 	 	 	 	 	 	 	 	 	 	 	 
41	13.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
461	18.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
412	12.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
358	12.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
59	12.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
491	9.0	17.0	 	 	 	 	 	 	 	 	 	 	 	 
173	15.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
36	6.0	20.0	 	 	 	 	 	 	 	 	 	 	 	 
309	19.0	7.0	 	 	 	 	 	 	 	 	 	 	 	 
329	19.0	7.0	 	 	 	 	 	 	 	 	 	 	 	 
26	20.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
294	20.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
460	11.0	15.0	 	 	 	 	 	 	 	 	 	 	 	 
38	20.0	6.0	 	 	 	 	 	 	 	 	 	 	 	 
387	7.0	19.0	 	 	 	 	 	 	 	 	 	 	 	 
393	15.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
484	7.0	19.0	 	 	 	 	 	 	 	 	 	 	 	 
96	8.0	18.0	 	 	 	 	 	 	 	 	 	 	 	 
201	10.0	17.0	 	 	 	 	 	 	 	 	 	 	 	 
423	9.0	18.0	 	 	 	 	 	 	 	 	 	 	 	 
482	9.0	18.0	 	 	 	 	 	 	 	 	 	 	 	 
472	10.0	17.0	 	 	 	 	 	 	 	 	 	 	 	 
427	8.0	19.0	 	 	 	 	 	 	 	 	 	 	 	 
57	8.0	19.0	 	 	 	 	 	 	 	 	 	 	 	 
367	20.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
95	18.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
344	15.0	12.0	 	 	 	 	 	 	 	 	 	 	 	 
167	12.0	15.0	 	 	 	 	 	 	 	 	 	 	 	 
198	15.0	12.0	 	 	 	 	 	 	 	 	 	 	 	 
18	20.0	1.0	 	 	 	 	 	 	 	 	 	 	 	 
174	19.0	0.0	 	 	 	 	 	 	 	 	 	 	 	 
478	13.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
112	19.0	0.0	 	 	 	 	 	 	 	 	 	 	 	 
457	11.0	16.0	 	 	 	 	 	 	 	 	 	 	 	 
498	11.0	16.0	 	 	 	 	 	 	 	 	 	 	 	 
92	19.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
215	18.0	10.0	 	 	 	 	 	 	 	 	 	 	 	 
87	9.0	19.0	 	 	 	 	 	 	 	 	 	 	 	 
265	20.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
437	20.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
153	20.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
191	17.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
396	14.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
139	20.0	8.0	 	 	 	 	 	 	 	 	 	 	 	 
493	8.0	20.0	 	 	 	 	 	 	 	 	 	 	 	 
312	16.0	12.0	 	 	 	 	 	 	 	 	 	 	 	 
480	16.0	12.0	 	 	 	 	 	 	 	 	 	 	 	 
313	15.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
204	18.0	10.0	 	 	 	 	 	 	 	 	 	 	 	 
370	18.0	11.0	 	 	 	 	 	 	 	 	 	 	 	 
145	16.0	13.0	 	 	 	 	 	 	 	 	 	 	 	 
122	15.0	14.0	 	 	 	 	 	 	 	 	 	 	 	 
419	9.0	20.0	 	 	 	 	 	 	 	 	 	 	 	 
237	13.0	16.0	 	 	 	 	 	 	 	 	 	 	 	 
98	20.0	9.0	 	 	 	 	 	 	 	 	 	 	 	 
352	11.0	18.0	 	 	 	 	 	 	 	 	 	 	 	 
51	20.0	10.0	 	 	 	 	 	 	 	 	 	 	 	 
148	13.0	17.0	 	 	 	 	 	 	 	 	 	 	 	 
116	10.0	20.0	 	 	 	 	 	 	 	 	 	 	 	 
181	13.0	17.0	 	 	 	 	 	 	 	 	 	 	 	 
382	14.0	16.0	 	 	 	 	 	 	 	 	 	 	 	 
394	10.0	20.0	 	 	 	 	 	 	 	 	 	 	 	 
222	12.0	18.0	 	 	 	 	 	 	 	 	 	 	 	 
483	15.0	15.0	 	 	 	 	 	 	 	 	 	 	 	 
